16
0 0 0 6 5 F 8 1 2 0 0 0 0 0 0 E 
7 0 0 0 B 0 0 0 0 F C G 0 4 0 0 
C 5 0 E 0 0 0 0 0 8 0 9 0 0 B 0 
0 0 0 0 0 C G 0 0 5 E 0 1 0 0 6 
2 0 8 0 0 0 0 B 9 0 4 0 0 G 0 0 
0 0 0 0 6 2 4 0 A 0 1 3 0 0 0 0 
B 0 0 0 0 0 C D 0 6 F 0 0 0 1 0 
0 G D 0 A 0 0 0 C 0 0 0 0 E F 0 
0 0 5 0 0 0 0 7 0 0 0 E C 9 6 0 
0 F 0 0 0 0 B 5 4 0 0 0 D A 0 2 
0 2 C G 0 E 0 0 0 0 0 0 0 0 8 3 
8 A 0 9 D 4 0 0 0 2 0 0 0 0 0 0 
0 C F 0 0 0 0 0 0 0 0 0 E 1 D 8 
3 0 0 2 0 A 9 0 0 0 5 0 0 0 0 C 
0 0 7 0 1 0 0 C E 0 0 F 3 0 0 0 
1 0 B 4 0 0 0 0 0 C 0 2 5 0 0 0 
